example_id,clean_customer,spotify,customer_created_at,gold_label
17,"how can i contact someone that will actually help with my account rather than, someone who has removed all my playlists UR A JOKE","@407806 Hey there! Help's here, don't worry. Can you DM us your account's email address? We'll take a look /MV https://t.co/ldFdZRiNAt",Wed Oct 25 18:58:04 +0000 2017,ACCOUNT_LOGIN
18,"I believe that this did start happening after a recent update, because before this update Spotify on Xbox one was running perfectly fine.",@670263 Got it! Can you let us know the Spotify version you're running? Does restarting the device help at all? /PL,Sun Oct 29 07:08:18 +0000 2017,BUG_REPORT
19,How to avail this?,@773678 Hey Loui! Can you DM us your account's email address? We'll see what we can suggest /KT https://t.co/ldFdZRiNAt,Tue Nov 21 08:35:25 +0000 2017,OTHER_UNCLEAR
20,why does my keyboard play/pause/next/back never work anymore with your app? Coworkers have the same issues so I know it's not isolated to my hardware.,"@152980 Hi Ryan! That's not cool. Can you let us know the device, OS, and Spotify version you're using? We'll see what we can suggest /JI",Fri Nov 24 15:53:36 +0000 2017,PLAYBACK_ISSUE
21,"Hi , please bring back lyrics on the desktop app and allow us to download and use them offline in all platforms. Thanks and much love! #spotify","@730870 Hey! We're afraid we don't have any news to share right now. In the meantime, you can connect your Spotify account to the Musixmatch mobile app to enjoy lyrics: https://t.co/scvbRH6MhL /SJ",Sun Nov 26 09:16:58 +0000 2017,FEATURE_REQUEST
22,is there any way to see a change log for the Android App?,"@370264 Hey there! We're afraid there's no change log for the Android app, but we'll let the right team know it's something you'd like to see /NS",Mon Oct 23 02:41:08 +0000 2017,OTHER_UNCLEAR
23,Hi!! I have a concern with my premium. When my smart line is being disconected my spotify is do the same thing so now I already paid my smart bill I cant connect my app into premium. I hope that u will read this. Thank u,"@136358 Hey, help's here! Can you DM us your account's username or email address? We'll take a look under the hood /JM https://t.co/ldFdZRiNAt",Wed Nov 29 13:50:27 +0000 2017,BILLING_SUBSCRIPTION
24,why have I gotta be on your Beta programme to get an optimised app for my iPhone X?,"@714181 Hi there! It's not necessary, but it would be a great help for us to optimize the app on iPhone X as soon as possible. We hope that clears things up /JM",Wed Nov 15 19:11:42 +0000 2017,BUG_REPORT
25,I stupidly deleted my starred playlist function. Is there any way I can get it back???,@595038 Hi there! Can you DM us your account's email address? We'll take a look under the hood and see what we can suggest /NY https://t.co/ldFdZRiNAt,Sun Nov 05 11:06:02 +0000 2017,PLAYLIST_LIBRARY
26,Thank you ! It's really annoying ! Have a great day !,"@257042 You're welcome! If you ever need anything else, just shout and we'll come running 🏃 /KL",Tue Oct 24 18:11:52 +0000 2017,FEEDBACK
27,"I got charged twice, 65php and 195php for my student and family subscription. I did not cont. student subscrpt. semarfepaquet",@619061 Hey there! We'd like to share some private info with you. Can you DM us your account's email address? We'll keep an eye out for it /GN https://t.co/ldFdZRiNAt,Tue Oct 10 14:35:58 +0000 2017,BILLING_SUBSCRIPTION
28,check dms,@760800 Hi there. We've just sent a DM your way. Let's carry on chatting there /JU,Mon Nov 20 01:12:00 +0000 2017,OTHER_UNCLEAR
29,Man I love Spotify.. They know how to put you on to new music similar to what u already listen to 👏🏾👏🏾👏🏾,"@467676 Thanks, Lorraine! We don't (long)jump when it comes to conclusions about your music taste 😉 /T",Thu Nov 02 21:34:59 +0000 2017,FEEDBACK
30,Why the heck can I drag a 'next up' song but not a current #song to a #playlist ? really weird #ux,"@126752 Hey Michael, that doesn't look right! What device, operating system, and Spotify version are you using? We'll see what we can suggest /JE",Thu Sep 21 17:40:41 +0000 2017,PLAYLIST_LIBRARY
31,where it at?,@324106 Hey Jonathan! Can you tell us what you're looking for? /RH,Fri Oct 20 05:07:18 +0000 2017,OTHER_UNCLEAR
32,. how is there still no Spotify app for Apple Watch over 2 years later? Embarrassing for a company with millions of users.,@599281 Hey Connor! Check out the official idea and add your vote to let our devs know it's something you'd like to see: https://t.co/SEK4E4gi22 /TB,Mon Nov 06 17:05:33 +0000 2017,FEATURE_REQUEST
33,Hi. I'm having issues joining a family plan. Can you please assist to check? Email: __email__,"@541414 Hey! For your security, we'd recommend deleting your post as it contains your email address. You can DM it to us instead /NY https://t.co/ldFdZRiNAt",Fri Oct 13 09:18:05 +0000 2017,BILLING_SUBSCRIPTION
34,I have Premium for Family and I am being charged twice (on 2 of my CCs). I don't know if I have a duplicate account. Help!,"@466822 Hey Ana, help's here! Can you DM us your account's email address? We'll take a look backstage /SJ https://t.co/ldFdZRiNAt",Mon Oct 16 19:36:55 +0000 2017,BILLING_SUBSCRIPTION
35,"iPhone 7, IOS 11.0.2 and version of Spotify is:",@320113 Thanks. Does logging out &gt; restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds &gt; logging in help? /AY,Mon Oct 09 08:36:21 +0000 2017,BUG_REPORT
36,"I cannot log into my Spotify account because I’m being told my Facebook credentials are invalid, but I have updated them. #helpme",@389557 Hi there! Can you DM us your account's email address? We'll take a look under the hood /AU https://t.co/ldFdZRiNAt,Sat Oct 14 17:02:05 +0000 2017,ACCOUNT_LOGIN
37,please upload this album to your service,"@539151 Hey there! Fingers crossed we'll be able to have these soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /JN",Thu Oct 12 08:37:47 +0000 2017,FEATURE_REQUEST
38,Also you keep randomly skipping songs so thanks for that...,@255071 Hey there! That's not right. Can you DM us your account's username or email address? We'll take a look backstage /TC https://t.co/ldFdZRiNAt,Sun Dec 03 06:26:19 +0000 2017,PLAYBACK_ISSUE
39,"dear admin, how can I display the lyrics on spotify via android phone ? Thanks","@232355 Hi there. The Spotify app does not have a built-in lyrics feature yet, but you can install Musixmatch if you'd like to have lyrics with the tracks you play in Spotify. There's more info here: https://t.co/XQrxFTRpil. Let us know if you have any other questions /LM",Sat Dec 02 06:31:58 +0000 2017,FEATURE_REQUEST
40,Today I watched one of those ads for 30m of free music and got an ad 10 minutes later...,"@566280 Hey, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /AN",Mon Oct 23 20:17:05 +0000 2017,BUG_REPORT
41,please fix the .dll redirection issue in ur latest Windows release the community thread's exploding and I am dying,@251618 Hey there! Could you tell us what's happening exactly? Keep us posted /DF,Sat Dec 02 14:00:18 +0000 2017,BUG_REPORT
42,these problems have been adundant on forums. They've come up with no fixes. Switching to Apple music if this keeps up #spotify,@553499 1: Hey Matt! We're sorry that you feel that way. We'll pass on your feedback regarding the 10k limit and changing usernames to the... /SJ,Wed Oct 18 18:30:03 +0000 2017,FEEDBACK
43,"bro I don’t pay y’all to force feed me censored songs, tf is going on. I could listen to the radio for free",@544173 Hey there! Sorry to hear you feel this way. We’d recommend showing your support for the official idea here: https://t.co/CdI1SY9KZE /CH,Sat Oct 14 22:19:55 +0000 2017,FEEDBACK
44,Would like to avail. How?,@775429 Hi! We've just replied to your DM. Let's carry on there /JE,Tue Nov 21 12:44:48 +0000 2017,OTHER_UNCLEAR
45,Hey I already paid for a family account and went to enter my address and I can't enter it. Please help ASAP.,@447939 Hey! Can you DM us your account's username and email address? We'll take a look backstage /JL https://t.co/ldFdZRiNAt,Thu Nov 02 00:47:22 +0000 2017,BILLING_SUBSCRIPTION
46,I am having a similar issue. When I paste my bio it isn't showing up. It is also not letting me paste my wiki link.,@177341 2: You might also want to try using an incognito window. Let us know how it goes /MQ,Thu Oct 05 18:56:41 +0000 2017,BUG_REPORT
47,"All of ""Songs"" disappeared. My playlists, albums, and artists were showing as there and downloaded. I updated to version 8.4.26.770 on my S8 last night. I restarted my phone 2x and it seems to be normal now.","@630867 Great! Just to check, is everything working okay on your end now? Keep us posted /CH",Wed Nov 08 20:22:29 +0000 2017,PLAYLIST_LIBRARY
48,Hi have you any contact with the support team of ?,"@156658 @123765 We'd suggest deleting your recent public tweet for your privacy, and sending us a DM instead. You can also contact our Email team at https://t.co/zu6tKiIYUg /MU https://t.co/ldFdZRiNAt",Wed Nov 15 07:26:48 +0000 2017,OTHER_UNCLEAR
49,"Dear , please don't ever recommend Christmas songs to me. Especially in November. Thanks. #bahhumbug","@282249 Hey! Thanks for your feedback on this. No worries, we'll make sure that it's passed on to the right team /RC",Thu Nov 23 08:05:49 +0000 2017,FEEDBACK
50,If will contact me with a dm.,@565374 Hey Rob! Is your Spotify misbehaving? Send us a DM with your account's email address or username? We'll help out /CO https://t.co/ldFdZRiNAt,Tue Oct 24 14:48:42 +0000 2017,OTHER_UNCLEAR
51,Hi I am based in hong kong and wonder why the new album of is still not available ?,"@225901 Hey there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/1dgftcFtzc /NS",Fri Dec 01 02:35:52 +0000 2017,AVAILABILITY_REGION
52,Shoutout to for the awesome insights you guys provide! This is an essential part of my tool kit as an emerging independent artist! #legends #spotify #independent,"@721777 Hey Sarah, you're welcome! If you ever need anything, give us a shout 🙂 /K",Thu Nov 16 02:57:10 +0000 2017,FEEDBACK
53,"Hi, can you please give me a free/cheap alternative to stream spotify to my LG-Smart tv since you guys removed the app?","@487443 Hey there! We'd suggest checking this out: https://t.co/D2p6hgpCoW. Rest assured, we'll pass your feedback on. Hope this helps /LP",Sat Nov 04 15:17:35 +0000 2017,CONNECTIVITY_SYNC
54,I got charged for student premium check my account and subscription is still free,"@701092 Hey, help's here. Can you send us a DM with your account's email address or username? We'll take a look behind the scenes /AY https://t.co/ldFdZRiNAt",Tue Nov 28 06:13:11 +0000 2017,BILLING_SUBSCRIPTION
55,Thank you for the quick response. So I could be logged into my phone and another device at the same time?,"@151322 Thats's right, but you can only stream on one device at a time. If you have any other questions, we're just a tweet away /JP",Tue Nov 28 15:53:57 +0000 2017,OTHER_UNCLEAR
56,I listen to the ad for 30 minutes of ad free music and then 3 songs later I get another ad🤔,@554621 That doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /FR,Thu Oct 19 03:25:27 +0000 2017,BUG_REPORT
57,where have all my saved songs gone 😲,"@744330 Hi Libbie! Can you let us know if your saved songs are also missing on a different device? If you can send us the Windows and Spotify versions you're using, that'd be great too /HR",Fri Nov 17 17:57:29 +0000 2017,PLAYLIST_LIBRARY
58,I have a student account and $10+ was just taken out of my account,@363046 Hi! Sorry for the late reply. We've just sent you a bit more info over DM. We'll carry on helping out there /RA,Sun Oct 22 18:46:54 +0000 2017,BILLING_SUBSCRIPTION
59,"past few days Kesha hasn't been playing on my phone, even songs I have downloaded. I tried reinstalling, no progress.",@213417 Hey Joshua! Can you DM us your account's email address or username? We'll check backstage /AR https://t.co/ldFdZRiNAt,Tue Oct 10 00:41:29 +0000 2017,PLAYBACK_ISSUE
60,I can't seem to share songs anymore. Help,"@181185 Hey, we're here to help! Can you let us know what's happening exactly? Are you getting any error messages? We'll see what we can suggest /KM",Thu Oct 05 10:31:11 +0000 2017,BUG_REPORT
61,"on PS3, your ads seem to also skip songs","@403742 2: Once closed, reopen the app. Let us know if that makes any difference /RC",Wed Oct 25 09:19:55 +0000 2017,PLAYBACK_ISSUE
62,💚you care. Thank you!,"@163067 We sure do! In fact, we'd say... https://t.co/LlUmsFxWMS 💚 /TB",Sat Nov 11 17:48:49 +0000 2017,FEEDBACK
63,Umm why is new album not on yet?????,"@226663 Hey, we’ll have it available to you as soon as it’s available to us! https://t.co/1dgftcFtzc /RB",Fri Dec 01 06:04:37 +0000 2017,AVAILABILITY_REGION
64,tried to log into my boyfriend's Spotify premium on a new phone and everything is gone and says he doesn't have premium,@408052 Hi Sazz! Help's on its way. Can you DM us his account's email address? We'll take a look backstage /DD https://t.co/ldFdZRiNAt,Sun Oct 15 21:08:20 +0000 2017,ACCOUNT_LOGIN
65,how do I switch from my current monthly premium to your promotional yearly premium with 2 months free?,"@254561 Hey there! You can sign up for the Spotify Yearly at https://t.co/N9oyLv27Of. Don't worry, it'll kick in at the end of your current billing cycle. Hope this clears things up. Let us know if you have other questions /AP",Sun Dec 03 04:06:26 +0000 2017,BILLING_SUBSCRIPTION
66,hey ur cute and all but why is Lindsay Lohan’s certified diamond album Confessions of a Broken Heart not available for streaming,"@566328 Hey Amanda! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /TR",Mon Oct 23 21:04:09 +0000 2017,AVAILABILITY_REGION
67,. how come you no longer accept NUS as a form of discount doesn't list my college so can't use that :(,"@467281 Hi! Phil! NUS is currently unavailable as a discount option. Not to worry, we'll pass your feedback on to the team about this /NY",Fri Nov 03 09:50:06 +0000 2017,BILLING_SUBSCRIPTION
68,i cant sign in your request page isnt working. When i sign in i get kicked out and its saying that my 2 emails i use are not for an account,@624438 Hey there! Could you DM us the email address you're trying to use to sign up? We'll take a look backstage /MA https://t.co/ldFdZRiNAt,Wed Nov 08 12:05:28 +0000 2017,ACCOUNT_LOGIN
69,...,@806222 Hey there! What's up? Is your app misbehaving? Let us know what's happening exactly so we can help /JP,Tue Nov 28 21:03:29 +0000 2017,OTHER_UNCLEAR
70,"Thanks! I looked through that, but can't seem to find Seattle's office address. However, there's an internship position located in Seattle.","@555918 Got it. For more information about internships, we'd suggest checking out the Spotify for Students section at https://t.co/c1Z94oBFOl /QI",Thu Oct 19 15:35:48 +0000 2017,OTHER_UNCLEAR
71,No it’s still not working for Metallica,@326577 Thanks for letting us know. We're looking into this at the moment. Hopefully we'll have a fix soon! /CG,Thu Oct 19 16:30:02 +0000 2017,AVAILABILITY_REGION
72,"A magic Spotify-fairie made it suddenly work again! Thanks for your efforts though. Let’s listen together, cheers :)","@558798 Awesome, that's what we like to hear! If you need us again, just... https://t.co/AUc7DGJpgF 😁 /NY",Fri Oct 20 09:04:52 +0000 2017,FEEDBACK
73,"Hey : it would be cool if we could send tracks we’re listening to, to our friends. #userexperience","@551456 Hey Phil, good news! Sending tracks to your friends through Spotify is easy. Just tap the three dots &gt; Share, and go from there /TR",Tue Oct 17 20:23:52 +0000 2017,FEATURE_REQUEST
74,"Dear , please fuck off with the Christmas song adverts. Thanks. Bye.","@380959 Hey, thanks for your feedback - we'll pass it on. For now, check out https://t.co/zgnxs5kPEu if you haven't had a subscription before /NS",Mon Oct 23 23:01:25 +0000 2017,FEEDBACK
75,Fix your desktop app. It's embarrassingly slow,"@451350 Hey! Help's here. What device, operating system, and Spotify version are you rocking? We'll see what we can suggest /RA",Thu Nov 02 04:45:11 +0000 2017,APP_CRASH_PERFORMANCE
76,I don’t have a link but I have a screenshot! It’s on this ad! Please help me! I need this song in my life!,"@810990 Thanks for the screenshot. Unfortunately, we're unable to locate the track info used for this ad. Track titles on ads would be a great idea. We can’t make any promises but we’ll be sure to pass your feedback onto the right folks /JI",Wed Nov 29 22:04:03 +0000 2017,OTHER_UNCLEAR
77,"hi, subscribed to spotify family,sent an invitation to my sis but it says 'error 3 oops,something went wrong' pls help. thanks",@215542 Hey! We've just sent you a DM. Let's carry on chatting there /JO,Tue Oct 10 09:06:30 +0000 2017,BILLING_SUBSCRIPTION
78,"The pattern I've recognised is that there are approx 9 mixes that only rotate out of Daily Mix 6, leaving 5 mixes stale. Can it be reset?","@779528 We're afraid it's not possible to have it reset right now, but the amount of mixes you’re served up depends on the amount and diversity of your listening history. We hope this clears things up /CH",Tue Nov 21 22:25:12 +0000 2017,BUG_REPORT
79,"Why is the Windows 10 Mobile app so terrible? I know next to no one uses Windows Phone, BUT I DO. PS: You guys know that NOT everything has to be done on the UI/Dispatcher thread right?",@806190 We hear you! We're passing on all feedback around this – thanks for sharing your thoughts /LO,Tue Nov 28 21:12:00 +0000 2017,BUG_REPORT
80,Can't connect Spotify and Hulu. I get an error saying they're having trouble authorizing my account with Spotify,"@334920 Hey, help's here! Could you contact Hulu's customer support here: https://t.co/qBTRuN9PJO so they can check on their end? Keep us posted /JQ",Sat Oct 21 00:44:00 +0000 2017,CONNECTIVITY_SYNC
81,sorry but you know what happened to ftisland’s song ‘puppy’?? I can’t find it anymore,@702144 Hey! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /DF,Sun Oct 29 14:48:40 +0000 2017,AVAILABILITY_REGION
82,hi I am thinking of switching to you from Deezer as they have a 1000 song limit on favourites. Do you have any song limits?,@418949 Hey! There's currently a 10k limit in Your Music (Songs + Albums + Artists). More info here: https://t.co/59ABtm5Ftl Keep rocking /MX,Thu Oct 26 12:27:19 +0000 2017,PLAYLIST_LIBRARY
83,"A lot of good music came out today, but most of it was not featured in the new releases section... what’s with that",@327492 Hi Vinnie! Can you let us know the title of these tracks? We'll check under the hood /AU,Fri Oct 20 17:45:06 +0000 2017,FEEDBACK
84,my playlists and saved music on my phone and computer haven't synced up for weeks now and it's irritating. What do I do?,"@634697 Hey Nick, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help /RH",Thu Nov 09 05:43:24 +0000 2017,CONNECTIVITY_SYNC
85,"Account, so you may need to update your payment details"" Then there's a button link to update my payment details?",@565914 Hey there! That doesn't sound good. Can you DM us a screenshot of the email showing the email address of the sender? /PB https://t.co/ldFdZRiNAt,Mon Oct 23 18:09:36 +0000 2017,BILLING_SUBSCRIPTION
86,I want to cancel my subscription but I signed up through Facebook and have since deleted it so I can't log in and cancel,"@456067 Hey Zach, help's here! Could you send us the email address associated with your account? We'll take a look backstage /VK",Thu Nov 02 16:27:57 +0000 2017,ACCOUNT_LOGIN
87,"Spotify is down, apparently. Search function won’t work. Sucks.",@564429 Hey Jamie! Everything should be running smoothly now. Let us know if this is still happening /GS,Tue Nov 28 20:50:03 +0000 2017,BUG_REPORT
88,"Um excuse me what the actual fuck if I have spotify premium, why is there a library limit",@725685 Hey there! There's currently a 10k limit in Your Music (Songs + Albums + Artists). More info here: https://t.co/59ABtm5Ftl /DB,Thu Nov 16 15:15:00 +0000 2017,PLAYLIST_LIBRARY
89,"On a separate note, hey how you gonna push an iOS update that isn't iPhone X support? I don't mean to complain about something so first world problem-y, but y'all are too big a company/service to go this long","@393490 Hey James, we hear you! We’re working on it as we speak. Stay tuned for more info /TB",Fri Nov 10 16:46:45 +0000 2017,BUG_REPORT
90,is support for the new iPhone X screen coming soon?,"@529317 Hi there! We don't have any info on this right now, but rest assured your feedback has been noted. We'll pass it on to the right team /KL",Tue Nov 07 18:40:10 +0000 2017,FEATURE_REQUEST
91,The United States,@194239 Thanks! We’ll have it available to you as soon as it’s available to us. https://t.co/0i8GpimuDa /GT,Sat Oct 07 17:09:47 +0000 2017,OTHER_UNCLEAR
92,Hi do you have a contact number or email address? Ive been searching your website for ages and cant find it anywhere!!! 🙂,@404327 2: We can also help you here on Twitter. Can you let us know what's happening exactly? We'll keep an eye out for your message /RC,Wed Oct 25 10:12:26 +0000 2017,OTHER_UNCLEAR
93,spotifiy company members plz relase this app in india we are waiting for this great app when will u realese this app plz tweet,@159663 Hey! We're launching regularly in countries around the world. Sign up here to be first to hear: https://t.co/XDwWzj7cLP /AY,Wed Oct 04 05:58:08 +0000 2017,AVAILABILITY_REGION
94,Do you know if they've been sent out already?,"@518439 We're afraid we don't have any specific info to share right now. For anything else, give us a shout /JE",Tue Oct 17 18:13:12 +0000 2017,OTHER_UNCLEAR
95,this should be The Virus not Virus.,@581277 Hi there! Thanks for the heads-up. We recommend letting the folks over at Songkick support know about this at https://t.co/Z3xipT1xgn /DN,Mon Oct 30 18:18:34 +0000 2017,OTHER_UNCLEAR
96,It seems to work now but its when it doesn’t that is the issue,@452133 Nice. Glad to hear it's all good. We’ll be on the lookout in case the issue comes up again. Hopefully not though /GK,Thu Nov 02 07:23:53 +0000 2017,BUG_REPORT
97,"I reset my password as soon as I noticed so I'm good, but I don't have my saved music, is there a way to restore the albums I have saved?","@208773 Got it! If it looks like your offline music isn't downloaded, we'll need to get them saved again. Keep us in the loop /JX",Mon Oct 09 16:00:42 +0000 2017,PLAYLIST_LIBRARY
98,งงใจเว่อ ไฝว้กับ ตั้งแต่เมื่อคืนละนะยังแก้ปัญหาไม่ได้สักที I need some helpssssssss! 😩,"@351270 2: On another note, we've just sent you a bit more info over DM. We'll carry on helping out there /MU",Sat Oct 14 04:23:32 +0000 2017,OTHER_UNCLEAR
99,"Hey, I need help signing up for Spotify for Students. Can you help me out?",@735835 Hey there! Can you DM us your account's email address? We'll take a look /RB https://t.co/ldFdZRiNAt,Fri Nov 17 05:51:49 +0000 2017,BILLING_SUBSCRIPTION
100,Also - suggested songs do not match what is on this playlist,"@517161 We hear you. Don't worry, we'll make sure your feedback reaches the right team. Let us know if you need help with anything else /HR",Wed Nov 08 04:11:56 +0000 2017,PLAYLIST_LIBRARY
101,Yes daily mixes on the test account worked flawless,@163532 Is it alright if we continue via DM? Just click the link below. We'll keep an eye out for your reply /MU https://t.co/ldFdZR1cbT,Tue Oct 24 08:41:13 +0000 2017,OTHER_UNCLEAR
102,"I wish had a kind of ""expiring playlist"" feature that allowed you to build a playlist for a specific moment and after a certain period of time it would expire and disappear. Somewhere in between normal playlist and queue.",@818250 This sounds like a great idea! Add your vote here to help make it happen: https://t.co/mbRlWBAJbC. We're here for you if there's anything else 🙂 /YM,Wed Nov 29 22:02:20 +0000 2017,FEATURE_REQUEST
103,How do I get a job making playlist 🤔🤔,"@666369 Hey Jarrett, we're happy to hear you're interested in joining the band! Check here for current job openings: https://t.co/c1Z94oBFOl 🙂 /TB",Sat Nov 11 22:37:33 +0000 2017,OTHER_UNCLEAR
104,How do i customize the icon of a playlist?,"@418794 Hey there! We've got helpful info on this at https://t.co/use0juiOLR, so check it out. If you have any questions, just give us a shout /RH",Sun Oct 29 17:25:12 +0000 2017,PLAYLIST_LIBRARY
105,okay kewl,"@808023 Sweet! If you need anything else, just shout and we'll come running 🏃 /FR",Wed Nov 29 04:03:28 +0000 2017,FEEDBACK
106,Are you guys currently having issues? I can’t add family members to my family plan,@630424 Hey Chloe! Could you send us a DM with your account's email address? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,Wed Nov 08 23:25:05 +0000 2017,BILLING_SUBSCRIPTION
107,"Got a new phone and Spotify won’t let me log in using my email or with Facebook! Please help,",@306505 Hi Jacqueline! Can you DM us your account's email address? We'll check backstage and see what we can suggest /NY https://t.co/ldFdZRiNAt,Sat Nov 25 04:41:36 +0000 2017,ACCOUNT_LOGIN
108,"im using my dell laptop, windows 10 and it says on about spotify that my version is ""1.0.64.403.gb738707f (Windows Store version)""",@448533 Thanks. Can you try the steps here for us: https://t.co/EqisDMwZAT? Let us know if that helps /QI,Sat Oct 28 19:16:27 +0000 2017,BUG_REPORT
109,"When I navigate to Spotify, the screen doesn’t load. I tried allowing pop ups and flash on the site settings.",@301402 Got it. Does using a different browser help? You might also want to try using an incognito window. Let us know how it goes /MQ,Wed Oct 11 20:41:10 +0000 2017,BUG_REPORT
110,Fantastic chat with one of your agents Jombert great to see CS that cares! Why I love Spotify!,@420756 Hey LilyAnn! Thanks for the feedback – we appreciate it! We’ll get this passed onto the right team 💚 /JX,Thu Oct 26 18:23:00 +0000 2017,FEEDBACK
111,Why won’t LA Lights by play on my ???,"@730875 Hey! Don’t worry, we can help. What’s happening exactly? Can you let us know the device/operating system you’re using? /SJ",Sun Nov 26 08:55:41 +0000 2017,PLAYBACK_ISSUE
112,I’ve been trying to update my Payment info for like a week and I still can’t what’s up Spotify,@300287 Hey there! We've come to the rescue. Could you DM us your account's email address or username? We'll check behind the scenes /RE https://t.co/ldFdZRiNAt,Wed Nov 15 13:43:54 +0000 2017,BILLING_SUBSCRIPTION
113,"If had a plan where I could get exclusive downloads of albums before the release date, I would totally pay a little extra.",@444599 This sounds like a great idea! Suggest it in our Community at https://t.co/rtDvYZOF32 and get support from other users /SU,Mon Oct 16 15:00:57 +0000 2017,FEATURE_REQUEST
114,It's not the track art- when I click on Redbone's 'come and get your love' -Gloria Gaynor's 'I will survive' plays instead,@754648 You're welcome! Thanks for bringing this to our attention. We'll have this reported to the right folks 🙂 /SJ https://t.co/ldFdZRiNAt,Sun Nov 19 14:11:44 +0000 2017,BUG_REPORT
